offense,defense,hfa,sepa
Boise State,North Texas,0,-0.5626911815532849
Boise State,North Texas,0,-0.34129233474226683
Boise State,North Texas,0,1.4364105145367714
Boise State,North Texas,0,-0.6421505306649415
Boise State,North Texas,0,-0.8646705500480634
North Texas,Boise State,0,0.6085623173623154
North Texas,Boise State,0,-0.037843008959173474
North Texas,Boise State,0,3.5947896447319
North Texas,Boise State,0,0.41473984985504764
North Texas,Boise State,0,0.3143589651490788
North Texas,Boise State,0,-0.6421505306649418
North Texas,Boise State,0,-0.11010832273906335
North Texas,Boise State,0,1.9693834881286358
Boise State,North Texas,0,0.8669739239530587
Boise State,North Texas,0,-0.41243647595005317
Boise State,North Texas,0,-0.8912490935853503
North Texas,Boise State,0,-0.6421505306649415
North Texas,Boise State,0,-0.7140670597286212
East Carolina,Coastal Carolina,0,0.8669739239530585
East Carolina,Coastal Carolina,0,0.4927292416783895
East Carolina,Coastal Carolina,0,-0.8912490935853503
Coastal Carolina,East Carolina,0,0.4132698925667333
Coastal Carolina,East Carolina,0,-0.5626911815532849
Coastal Carolina,East Carolina,0,0.7565136490605524
Coastal Carolina,East Carolina,0,0.7908370211133469
Coastal Carolina,East Carolina,0,-0.3398223774539524
Coastal Carolina,East Carolina,0,1.010122900925488
Coastal Carolina,East Carolina,0,-0.6421505306649413
East Carolina,Coastal Carolina,0,-0.9441298991597202
East Carolina,Coastal Carolina,0,-0.8646705500480634
East Carolina,Coastal Carolina,0,0.46615069814110255
Coastal Carolina,East Carolina,0,-0.33982237745395194
Coastal Carolina,East Carolina,0,-0.5626911815532845
East Carolina,Coastal Carolina,0,-0.1895676718507202
East Carolina,Coastal Carolina,0,0.26448514425181635
East Carolina,Coastal Carolina,0,-1.0568903805199894
Coastal Carolina,East Carolina,0,-0.7938751935564881
Coastal Carolina,East Carolina,0,1.6449804634907408
Coastal Carolina,East Carolina,0,0.41473984985504764
Coastal Carolina,East Carolina,0,2.079777668415119
Coastal Carolina,East Carolina,0,-1.9995503223913942
Coastal Carolina,East Carolina,0,-0.714067059728621
Coastal Carolina,East Carolina,0,-0.13668686627635052
East Carolina,Coastal Carolina,0,-0.6421505306649415
East Carolina,Coastal Carolina,0,-0.6421505306649413
East Carolina,Coastal Carolina,0,-1.0163952129396105
Connecticut,Marshall,0,-0.7924052362681733
Connecticut,Marshall,0,-0.8646705500480636
Connecticut,Marshall,0,-0.6421505306649413
Connecticut,Marshall,0,1.4329875517782882
Connecticut,Marshall,0,-0.4915470403454987
Connecticut,Marshall,0,-0.8646705500480636
Marshall,Connecticut,0,-0.039312966247488035
Marshall,Connecticut,0,-1.3169046241460742
Marshall,Connecticut,0,2.0682299046588835
Marshall,Connecticut,0,-0.3398223774539524
San José State,Eastern Michigan,0,1.2156546774363157
San José State,Eastern Michigan,0,0.6085623173623151
San José State,Eastern Michigan,0,0.608562317362316
San José State,Eastern Michigan,0,0.1124116966440587
San José State,Eastern Michigan,0,-0.5623423968370744
Eastern Michigan,San José State,0,0.7908370211133473
Eastern Michigan,San José State,0,-0.6421505306649413
Eastern Michigan,San José State,0,2.0635903186869937
Eastern Michigan,San José State,0,-0.6421505306649413
Eastern Michigan,San José State,0,-0.8646705500480638
Eastern Michigan,San José State,0,-0.1895676718507202
Eastern Michigan,San José State,0,-2.2235402990628317
Eastern Michigan,San José State,0,3.2039449920268988
San José State,Eastern Michigan,0,0.7908370211133469
San José State,Eastern Michigan,0,-0.6421505306649414
San José State,Eastern Michigan,0,0.34247453607515765
San José State,Eastern Michigan,0,-1.0415037991885825
San José State,Eastern Michigan,0,2.1320168148917134
San José State,Eastern Michigan,0,-0.039312966247488035
San José State,Eastern Michigan,0,-0.8646705500480636
Oklahoma State,Wisconsin,0,0.5649945554582796
Oklahoma State,Wisconsin,0,0.40811716940609877
Oklahoma State,Wisconsin,0,-0.7924052362681735
Oklahoma State,Wisconsin,0,-0.8646705500480634
Wisconsin,Oklahoma State,0,-0.6421505306649414
Wisconsin,Oklahoma State,0,-0.2618329856306103
Wisconsin,Oklahoma State,0,2.3636511035921193
Wisconsin,Oklahoma State,0,0.26301518696350135
Wisconsin,Oklahoma State,0,0.40581537921971966
Wisconsin,Oklahoma State,0,0.26448514425181546
Wisconsin,Oklahoma State,0,0.6483583317916581
Oklahoma State,Wisconsin,0,0.11241169664405837
Oklahoma State,Wisconsin,0,-1.4686292870376207
Oklahoma State,Wisconsin,0,1.034849930973599
Oklahoma State,Wisconsin,0,-0.03784300895917336
Oklahoma State,Wisconsin,0,-0.11010832273906368
Oklahoma State,Wisconsin,0,0.8785201039906785
Oklahoma State,Wisconsin,0,-1.2446393103661841
Oklahoma State,Wisconsin,0,-0.8646705500480635
Oklahoma State,Wisconsin,0,4.359814468824162
Oklahoma State,Wisconsin,0,0.4147398498550472
Oklahoma State,Wisconsin,0,-0.8646705500480629
Oklahoma State,Wisconsin,0,1.2407677213063626
Oklahoma State,Wisconsin,0,-0.037843008959173474
Oklahoma State,Wisconsin,0,-0.8646705500480629
Oklahoma State,Wisconsin,0,-0.18956767185072
Toledo,Liberty,0,-0.6421505306649413
Toledo,Liberty,0,-0.2618329856306105
Toledo,Liberty,0,-0.6421505306649415
Toledo,Liberty,0,1.3712493456690682
Toledo,Liberty,0,0.6085623173623154
Toledo,Liberty,0,0.7167192183498263
Toledo,Liberty,0,-0.04788865216660554
Toledo,Liberty,0,2.312242814519135
Toledo,Liberty,0,-1.0943846047629515
Toledo,Liberty,0,-0.8646705500480634
Liberty,Toledo,0,-0.6421505306649413
Liberty,Toledo,0,-1.9212121458518423
Toledo,Liberty,0,-0.6421505306649413
Toledo,Liberty,0,0.4927292416783897
Toledo,Liberty,0,0.8182518551697726
Toledo,Liberty,0,0.2630151869635009
Toledo,Liberty,0,-0.4915470403454987
Toledo,Liberty,0,-0.5626911815532847
Toledo,Liberty,0,0.715249261061512
Toledo,Liberty,0,0.01384955394261489
Toledo,Liberty,0,0.26448514425181546
Toledo,Liberty,0,-0.6421505306649413
Liberty,Toledo,0,0.7152492610615117
Liberty,Toledo,0,0.41473984985504764
Liberty,Toledo,0,-0.18956767185072
Liberty,Toledo,0,0.670300523471536
Liberty,Toledo,0,0.5649945554582798
Liberty,Toledo,0,0.22584246565506705
Toledo,Liberty,0,-0.6421505306649413
Toledo,Liberty,0,-1.1666499185428427
Toledo,Liberty,0,2.4173627665700996
Toledo,Liberty,0,0.11241169664405848
Toledo,Liberty,0,-0.7140670597286212
Wake Forest,Missouri,0,1.6434122483359146
Wake Forest,Missouri,0,0.730568772292441
Wake Forest,Missouri,0,-0.4915470403454987
Wake Forest,Missouri,0,-0.8646705500480634
Wake Forest,Missouri,0,0.715249261061512
Wake Forest,Missouri,0,-0.8646705500480643
Missouri,Wake Forest,0,1.5728140824787729
Missouri,Wake Forest,0,0.5649945554582796
Missouri,Wake Forest,0,0.16557421683416162
Missouri,Wake Forest,0,-0.6421505306649414
Missouri,Wake Forest,0,-0.8646705500480635
Missouri,Wake Forest,0,3.0267569168304784
Wake Forest,Missouri,0,-0.6421505306649413
Wake Forest,Missouri,0,0.4927292416783895
Wake Forest,Missouri,0,1.0622647650300248
Wake Forest,Missouri,0,-0.6421505306649415
Wake Forest,Missouri,0,0.49272924167838994
Wake Forest,Missouri,0,0.9128434760434729
Wake Forest,Missouri,0,-0.6421505306649415
Wake Forest,Missouri,0,1.3712493456690682
Wake Forest,Missouri,0,0.2630151869635009
Wake Forest,Missouri,0,-2.071815636171285
Missouri,Wake Forest,0,-0.6421505306649415
Missouri,Wake Forest,0,1.6152622555293201
Missouri,Wake Forest,0,0.5649945554582798
Missouri,Wake Forest,0,-1.9197421885635273
Duke,UCF,0,0.11241169664405826
Duke,UCF,0,-0.41208769123384204
UCF,Duke,0,0.7167192183498268
UCF,Duke,0,0.8525752272225675
UCF,Duke,0,-0.18956767185072043
UCF,Duke,0,0.8583982380339412
UCF,Duke,0,-0.6421505306649413
Duke,UCF,0,-0.18809771456240543
Duke,UCF,0,-0.8646705500480634
UCF,Duke,0,0.6085623173623154
UCF,Duke,0,0.715249261061512
UCF,Duke,0,0.0755877600518351
UCF,Duke,0,-2.001020279679709
UCF,Duke,0,1.549619622198379
UCF,Duke,0,-0.7395244306938038
UCF,Duke,0,1.7980174482491347
UCF,Duke,0,-0.1880977145624052
UCF,Duke,0,2.6223469840116667
UCF,Duke,0,1.69370094855541
Middle Tennessee,San Diego State,0,-0.6421505306649415
Middle Tennessee,San Diego State,0,-0.563812354125389
Middle Tennessee,San Diego State,0,0.11241169664405826
Middle Tennessee,San Diego State,0,0.6166871183600682
Middle Tennessee,San Diego State,0,-0.1880977145624052
Middle Tennessee,San Diego State,0,-2.1512749852829414
Middle Tennessee,San Diego State,0,-2.3737950046660634
